Id,Body,Title,AcceptedAnswerId,CreationDate,AnswerCount,CommentCount
"35905","I've created a few autorun script files on various USB devices that run bash scripts when they mount.  These scripts run ""in the background"", how do I get them to run in a terminal window? (Like the ""Application in Terminal"" gnome Launcher type.)
","How do I autorun an application in a terminal in Ubuntu?","35924","2008-08-30 11:53:01","2","0"
"35762","I have a large GUI project that I'd like to port to Linux.
What is the best framework to use for GUI programming in Linux? Should KDE / Gnome frameworks be used?  Or can I use something more generic other than X?

I feel like if I chose one of Gnome or KDE, I'm closing the market out for a chunk of the Linux market who have chosen one over the other.  (Yes I know there is overlap)  

Is there a better way? Or would I have to create 2 complete GUI apps to have near 100% coverage?

I do not need a cross platform solution that will work on Win32.
","Linux GUI development","35770","2008-08-30 07:51:26","4","0"
"73087","Is there a standard X / Gnome program that will display the X,Y width and depth in pixels of a window that I select?  Something similar to the way an xterm shows you the width and depth of the window (in lines) as you resize it.

I'm running on Red Hat Enterprise Linux 4.4.

Thanks!
","X/Gnome: How to measure the geometry of an open window","73155","2008-09-16 14:42:32","2","0"
"119031","I have a cross platform program that runs on Windows, Linux and Macintosh. My windows version has an Icon but I don't know how to make have one for my Linux build.
Is there a standard format for KDE, Gnome etc. or will I have to do something special for each one?

My app is in c++ and distributed as source so the end user will compile it with gcc. 

If I can have the icon embedded directly inside my exe binary that would be the best.
","How to set my application's desktop icon for Linux: KDE, Gnome etc?","119062","2008-09-23 03:58:22","3","0"
"126141","I need to determine which version of GTK+ is installed on Ubuntu

Man does not seem to help
","How do you find out which version of GTK+ is installed on Ubuntu?","126193","2008-09-24 09:08:05","8","0"
"187526","I'd like to be able to run my aliases from my .bashrc in the ""Run Application"" dialog that comes up when you hit Alt+F2 in Ubuntu/Gnome.

Does anyone know how to do this?
","Access aliases in Gnome ""Run Application"" dialog","198830","2008-10-09 14:28:19","7","2"
"202706","Now, I know this is completely subjective, so please don't flame me. I've never been entirely satisfied with linux whenever I decided to install a distro like Ubuntu, Fedora etc. because of their awkward positioning and spacing of widgets.

Have a look at <a href=""http://art.gnome.org/themes/gtk2/?sort_by=popularity&amp;limit=12&amp;view=list&amp;order=DESC"" rel=""nofollow"">this</a>:

<img src=""http://art.gnome.org/images/archive/thumbnails/gtk2/GTK2-Glossy_P-Th.png"" alt=""alt text"" />

<img src=""http://art.gnome.org/images/thumbnails/gtk2/GTK2-DarkGilouche-Th.png"" alt=""alt text"" />

Notice the awkward spacing of the text field's text.

I've seen many Gnome themes that look good on the surface but it all somehow breaks down, awkward spacings, strange borders. Etc. 

The entire linux desktop doesn't have the visual integrity of OSX for instance, and I wonder why. If there is any example of a nice integrated Linux environment, please please please show me, I really WANT to use Linux.

(and I know, there's QT, and other managers like KDE etc. I noticed the same thing, so it probably isn't GTK or Gnome alone)
","Is gtk+ responsible for the awkward look of most linux applications?","203012","2008-10-14 20:40:50","9","6"
"257992","I am writing a console application which makes use of the F1 key (for help).  Unfortunately, while Konsole (of KDE) doesn't use this key, Gnome Terminal does, so the F1 key becomes inaccessible to my application.  I don't think there's a way to detect whether the F1 key is already mapped in the GUI side of things (Gnome Terminal), but if there is, the answer to that will obviate this question.  :)

Ergo, my next best bet is to try to detect whether I am running inside Gnome Terminal.  Is there some way to do that?  I'm primarily interested in gleaning this from within Ruby, but if it can be done via shell or environment variables, or virtual filesystem (/proc, /dev, etc.) then that will suffice.

I'm hoping for a reliable way to do this, but I can settle for ""best guess"" approaches like grepping the environment variables for clues that can let me reasonably assume that Gnome Terminal is the wrapping terminal.

Extra info: other keys are also ""stolen"" by Gnome Terminal.  I intend to display some sort of informative message about alternative keys for Gnome users.
","How can I detect Gnome Terminal?","257996","2008-11-03 05:32:18","6","0"
"302163","I would like to assign a global hotkey to my Python application, running in Gnome. How do I do that? All I can find are two year old posts saying, well, pretty much nothing :-)
","Global hotkey for Python application in Gnome","302168","2008-11-19 15:08:12","2","0"
"331407","I am using the following code to set a tray icon in Windows and Linux. It works wonderful in Windows and works okay in Linux. In Linux (Ubuntu) I have my panel set to be (somewhat) transparent and when I add a GIF (with a transparent background) the background of the icon shows up all grey and ugly (see image, green diamond ""!"")....Any ideas on how to make the GIF image I am adding ""keep"" its transparent background?

<img src=""http://unarm.org/stackoverflow/panel_task.jpg"" alt=""alt text"" />

and the image I am using, if you'd like to test:

<img src=""http://unarm.org/stackoverflow/green_info.gif"" alt=""alt text"" />

import java.awt.*;
import java.awt.event.*;

public class TrayFun {


  static class ShowMessageListener implements ActionListener {
    TrayIcon trayIcon;
    String title;
    String message;
    TrayIcon.MessageType messageType;
    ShowMessageListener(
        TrayIcon trayIcon,
        String title,
        String message,
        TrayIcon.MessageType messageType) {
      this.trayIcon = trayIcon;
      this.title = title;
      this.message = message;
      this.messageType = messageType;
    }
    public void actionPerformed(ActionEvent e) {
      trayIcon.displayMessage(title, message, messageType);
    }
  }

  public static void main(String args[]) {
    Runnable runner = new Runnable() {
      public void run() {
        if (SystemTray.isSupported()) {
          final SystemTray tray = SystemTray.getSystemTray();
          Image image = Toolkit.getDefaultToolkit().getImage(""green_info.png"");
          PopupMenu popup = new PopupMenu();
          final TrayIcon trayIcon = new TrayIcon(image, ""The Tip Text"", popup);
          trayIcon.setImageAutoSize(true);

          MenuItem item = new MenuItem(""Close"");
      item.addActionListener(new ActionListener() {
            public void actionPerformed(ActionEvent e) {
          tray.remove(trayIcon);
            }
      });
          popup.add(item);
          try {
            tray.add(trayIcon);
          } catch (AWTException e) {
            System.err.println(""Can't add to tray"");
          }
        } else {
          System.err.println(""Tray unavailable"");
        }
      }
    };
    EventQueue.invokeLater(runner);
  }
}

","java TrayIcon using image with transparent background","331722","2008-12-01 16:49:34","6","3"
